,ee_pos_x,ee_pos_y,ee_pos_z,ee_quat_a,ee_quat_b,ee_quat_c,ee_quat_d,ee_wrench_desired_x,ee_wrench_desired_y,ee_wrench_desired_z,ee_wrench_desired_torque_x,ee_wrench_desired_torque_y,ee_wrench_desired_torque_z
0.5038849396594478,0.549247145652771,0.04593876749277115,0.32002314925193787,0.9297388195991516,-0.3669329881668091,0.0030421579722315073,0.03060469962656498,6.540012359619141,-2.4070487022399902,-10.713418960571289,0.08751800656318665,0.3180145025253296,-0.6317064762115479
0.5040502562407009,0.5492414236068726,0.04588184133172035,0.3199971914291382,0.929696798324585,-0.367037296295166,0.003025781363248825,0.03063196688890457,6.516330242156982,-2.408367872238159,-10.710615158081055,0.07360351085662842,0.3157365918159485,-0.6348950266838074
0.5042155728219541,0.5492363572120667,0.04582320526242256,0.3199719786643982,0.9296542406082153,-0.36714300513267517,0.0030103460885584354,0.030658580362796783,6.457329750061035,-2.3785037994384766,-10.668632507324219,0.0656527653336525,0.3120686709880829,-0.6342911720275879
0.5043808894032071,0.5492292046546936,0.04576484486460686,0.31994619965553284,0.92961186170578,-0.3672482669353485,0.0029923836700618267,0.030684273689985275,6.403926372528076,-2.5489156246185303,-10.713591575622559,0.04152954742312431,0.30877646803855896,-0.6525748372077942
0.5045462059844602,0.5492252707481384,0.045704130083322525,0.31992247700691223,0.9295680522918701,-0.3673571050167084,0.0029779840260744095,0.03071044757962227,6.382160186767578,-2.6172566413879395,-10.780683517456055,0.026016322895884514,0.3100733757019043,-0.6550595760345459
0.5047115225657133,0.5492205619812012,0.04564903303980827,0.31989896297454834,0.9295257329940796,-0.36746203899383545,0.0029618621338158846,0.030736416578292847,6.34650182723999,-2.653271436691284,-10.788033485412598,0.01777293160557747,0.30915457010269165,-0.6585454344749451
0.5048768391469665,0.5492134094238281,0.04558929428458214,0.3198694884777069,0.9294818639755249,-0.36757075786590576,0.0029425385873764753,0.03076578490436077,6.347289085388184,-2.6839451789855957,-10.802629470825195,0.02571658231317997,0.30869945883750916,-0.6594310998916626
0.5050421557282195,0.5492063164710999,0.045531634241342545,0.31984391808509827,0.9294382929801941,-0.36767882108688354,0.002924759639427066,0.030792145058512688,6.362955570220947,-2.6692099571228027,-10.834190368652344,0.033974967896938324,0.3104510009288788,-0.6648648977279663
0.5052074723094726,0.5492013692855835,0.04547382518649101,0.31981778144836426,0.9293940663337708,-0.36778852343559265,0.0029096852522343397,0.030818697065114975,6.327190399169922,-2.6562695503234863,-10.79712963104248,0.033492814749479294,0.3070741295814514,-0.6669942736625671
0.5053727888907257,0.5491952896118164,0.04541468620300293,0.31979212164878845,0.9293481111526489,-0.3679024875164032,0.002893612952902913,0.030845828354358673,6.329729080200195,-2.6530232429504395,-10.785292625427246,0.036866385489702225,0.3064993619918823,-0.6713117957115173
0.5055381054719789,0.5491886138916016,0.04535659775137901,0.31976455450057983,0.9293026328086853,-0.3680151402950287,0.0028741636779159307,0.030874071642756462,6.311651229858398,-2.6133718490600586,-10.733779907226562,0.04168352857232094,0.3036763072013855,-0.6711826324462891
0.5057034220532319,0.5491824746131897,0.045300595462322235,0.3197370767593384,0.9292572736740112,-0.36812737584114075,0.0028563910163939,0.030902616679668427,6.317718982696533,-2.602700710296631,-10.75792407989502,0.04582149162888527,0.30546125769615173,-0.6750814318656921
